,TIMESTAMP,INSTRUMENT,SYMBOL,OPEN,HIGH,LOW,CLOSE,COI,PCR
66,24-NOV-2020,FUTSTK,IDFCFIRSTB,37.0,37.15,35.4,36.55,142538000,0.5658644617535339
67,24-NOV-2020,FUTSTK,IGL,450.0,456.4,446.85,454.0,4515500,0.41758224193396415
68,24-NOV-2020,FUTSTK,INDIGO,1645.05,1677.9,1641.0,1657.35,3771000,0.9676415329825033
69,24-NOV-2020,FUTSTK,INDUSINDBK,849.9,859.8,835.25,851.9,19244300,0.9520599631321311
70,24-NOV-2020,FUTSTK,INFRATEL,219.3,237.25,216.15,218.0,14000000,0.5763812907726757
71,24-NOV-2020,FUTSTK,INFY,1146.0,1156.95,1136.25,1142.45,39382200,0.46977806790592663
72,24-NOV-2020,FUTSTK,IOC,87.0,87.35,85.75,86.35,58704300,0.46023940129462276
73,24-NOV-2020,FUTSTK,ITC,191.4,196.15,191.25,195.35,97222400,0.5904081086587444
74,24-NOV-2020,FUTSTK,JINDALSTEL,242.75,245.6,235.3,241.25,26610000,0.9170827338496036
75,24-NOV-2020,FUTSTK,JSWSTEEL,339.25,342.3,334.3,340.85,37354500,0.711226699411287
76,24-NOV-2020,FUTSTK,JUBLFOOD,2626.5,2655.0,2542.2,2548.75,1948500,0.7511405725498075
77,24-NOV-2020,FUTSTK,KOTAKBANK,1889.05,1939.95,1886.45,1915.65,17588800,1.3334486145773132
78,24-NOV-2020,FUTSTK,L&TFH,73.5,74.55,72.1,73.1,34722700,0.5223274349062436
79,24-NOV-2020,FUTSTK,LICHSGFIN,321.1,327.4,321.1,323.7,13654000,0.44384332253434794
80,24-NOV-2020,FUTSTK,LT,1135.0,1143.5,1129.3,1135.5,13162350,0.5991585129926661
81,24-NOV-2020,FUTSTK,LUPIN,889.0,901.0,879.5,896.35,9981550,0.4027896549216149
82,24-NOV-2020,FUTSTK,M&M,710.5,744.7,707.3,727.6,16398200,0.8123125247352474
83,24-NOV-2020,FUTSTK,M&MFIN,160.75,170.3,158.6,166.1,24234116,0.6949242728914639
84,24-NOV-2020,FUTSTK,MANAPPURAM,161.75,166.0,159.8,163.25,19836000,0.39817624136572427
85,24-NOV-2020,FUTSTK,MARICO,378.15,378.95,373.6,377.8,10226000,0.43521558536911514
86,24-NOV-2020,FUTSTK,MARUTI,7065.1,7225.0,7040.15,7165.15,3339700,0.49475142216211193
87,24-NOV-2020,FUTSTK,MCDOWELL-N,568.7,572.9,563.5,564.3,12178750,0.524333476554588
88,24-NOV-2020,FUTSTK,MFSL,634.75,645.8,630.65,635.85,4253600,0.4403502829280932
89,24-NOV-2020,FUTSTK,MGL,942.6,948.5,932.0,943.15,1477200,0.49630072147419696
90,24-NOV-2020,FUTSTK,MINDTREE,1421.75,1467.95,1405.9,1413.5,1724000,0.3954430477593086
91,24-NOV-2020,FUTSTK,MOTHERSUMI,147.0,147.7,144.15,144.9,20552000,0.9393156009115926
92,24-NOV-2020,FUTSTK,MRF,79740.95,80497.4,78274.5,79148.45,41640,0.9025270758122743
93,24-NOV-2020,FUTSTK,MUTHOOTFIN,1151.8,1163.4,1121.9,1136.15,4890750,0.39217773294839436
94,24-NOV-2020,FUTSTK,NATIONALUM,36.6,36.8,36.25,36.4,55012000,0.6086497512627357
95,24-NOV-2020,FUTSTK,NAUKRI,4042.8,4081.95,4030.0,4050.15,736000,0.7089481696699536
96,24-NOV-2020,FUTSTK,NESTLEIND,17722.2,17935.35,17609.05,17658.4,325350,0.6827657046182353
97,24-NOV-2020,FUTSTK,NMDC,93.95,93.95,92.45,93.55,32970700,0.5345365915371119
98,24-NOV-2020,FUTSTK,NTPC,93.9,94.35,93.45,93.9,47828700,0.421701221222923
99,24-NOV-2020,FUTSTK,ONGC,76.75,78.15,75.55,76.35,60414200,0.5713573912323142
100,24-NOV-2020,FUTSTK,PAGEIND,22031.85,23226.0,21941.05,22615.6,110850,0.3770827243496054
101,24-NOV-2020,FUTSTK,PEL,1391.65,1444.0,1391.65,1428.85,3313750,0.5113766887570074
102,24-NOV-2020,FUTSTK,PETRONET,253.85,259.9,251.3,258.2,11508000,0.585947057320344
103,24-NOV-2020,FUTSTK,PFC,104.45,105.55,103.7,104.8,48316600,0.5739130051484002
104,24-NOV-2020,FUTSTK,PIDILITIND,1581.3,1609.4,1579.2,1584.5,3017500,0.5376910771299838
105,24-NOV-2020,FUTSTK,PNB,30.4,30.65,29.8,30.5,72892000,0.5430854038573252
106,24-NOV-2020,FUTSTK,POWERGRID,194.3,197.25,192.8,194.7,18180000,0.7767315439254298
107,24-NOV-2020,FUTSTK,PVR,1277.0,1296.45,1267.2,1282.25,1886038,0.6591216538274721
108,24-NOV-2020,FUTSTK,RAMCOCEM,865.5,873.0,856.0,870.05,1768850,0.2952996818027493
109,24-NOV-2020,FUTSTK,RBLBANK,216.7,230.55,216.5,227.1,26216000,0.7941101027095805
110,24-NOV-2020,FUTSTK,RECLTD,115.8,117.9,115.35,117.0,24540000,0.5237268013380786
111,24-NOV-2020,FUTSTK,RELIANCE,1964.65,1976.95,1933.6,1968.25,36603735,0.4608898701407084
112,24-NOV-2020,FUTSTK,SAIL,43.2,43.8,42.3,43.4,70547000,0.9191245971693827
113,24-NOV-2020,FUTSTK,SBILIFE,835.0,841.2,832.95,840.15,5445000,0.48228534683021196
114,24-NOV-2020,FUTSTK,SBIN,243.5,244.65,239.4,243.9,98847000,1.0114069804061023
115,24-NOV-2020,FUTSTK,SHREECEM,24581.2,24673.45,24046.2,24224.15,133900,0.532610726966922
116,24-NOV-2020,FUTSTK,SIEMENS,1401.35,1416.1,1389.1,1397.55,1840300,0.6356019645878905
117,24-NOV-2020,FUTSTK,SRF,5160.05,5359.6,5160.0,5326.2,604000,0.8654292580139897
118,24-NOV-2020,FUTSTK,SRTRANSFIN,977.3,1021.85,968.85,1017.6,4223708,1.209955924663691
119,24-NOV-2020,FUTSTK,SUNPHARMA,515.0,523.7,508.6,520.9,43678600,0.5332497957554526
120,24-NOV-2020,FUTSTK,SUNTV,430.85,433.85,423.9,426.65,6031500,0.3981667357999078
121,24-NOV-2020,FUTSTK,TATACHEM,360.1,374.9,360.1,367.95,5334000,0.5487429341683219
122,24-NOV-2020,FUTSTK,TATACONSUM,522.75,530.0,519.1,526.1,15653250,0.37006571433038615
123,24-NOV-2020,FUTSTK,TATAMOTORS,172.55,175.85,171.4,172.15,98912100,0.8343883193899727
124,24-NOV-2020,FUTSTK,TATAPOWER,59.4,60.2,58.4,60.0,101736000,0.46432317188126493
125,24-NOV-2020,FUTSTK,TATASTEEL,549.1,551.3,541.3,548.65,38222800,1.0411008871374616
126,24-NOV-2020,FUTSTK,TCS,2735.0,2742.55,2703.25,2722.25,6742500,0.6276562800924144
127,24-NOV-2020,FUTSTK,TECHM,868.55,889.9,864.8,877.25,10882800,0.5636154691684172
128,24-NOV-2020,FUTSTK,TITAN,1349.7,1363.35,1327.25,1330.45,6105750,0.7137063715205231
129,24-NOV-2020,FUTSTK,TORNTPHARM,2611.45,2660.0,2556.8,2628.35,990000,0.3578211819255405
130,24-NOV-2020,FUTSTK,TORNTPOWER,314.0,315.15,312.4,313.45,4389000,0.22222204329948206
131,24-NOV-2020,FUTSTK,TVSMOTOR,476.5,482.0,468.35,471.75,6203400,0.5108140172600794
132,24-NOV-2020,FUTSTK,UBL,1081.0,1094.75,1071.25,1075.4,1587600,0.3505333623114358
133,24-NOV-2020,FUTSTK,ULTRACEMCO,4894.35,4919.2,4849.2,4884.6,1828800,0.8193390888546378
134,24-NOV-2020,FUTSTK,UPL,428.9,432.2,426.3,428.6,24334700,0.542525018959863
135,24-NOV-2020,FUTSTK,VEDL,113.75,117.8,113.0,116.05,106565600,0.6867524010908336
136,24-NOV-2020,FUTSTK,VOLTAS,764.5,781.55,763.55,778.7,3511000,0.6516922840545025
137,24-NOV-2020,FUTSTK,WIPRO,359.3,361.65,355.2,356.05,29475200,0.46198995785656954
138,24-NOV-2020,FUTSTK,ZEEL,188.95,191.15,187.8,188.6,34032000,0.4571971615729062
0,25-NOV-2020,FUTIDX,BANKNIFTY,29953.0,30190.0,29148.2,29208.7,1770625,0.8426526892398583
1,25-NOV-2020,FUTIDX,NIFTY,13130.15,13137.75,12844.25,12859.15,14251425,1.2665108560585197
2,25-NOV-2020,FUTSTK,ACC,1698.85,1710.0,1662.15,1666.7,1589500,0.6220918176515162
3,25-NOV-2020,FUTSTK,ADANIENT,412.95,412.95,393.3,400.8,17864000,1.0166335535060893
4,25-NOV-2020,FUTSTK,ADANIPORTS,395.9,405.5,384.7,399.65,54622500,0.4614314855550402
5,25-NOV-2020,FUTSTK,AMARAJABAT,880.0,891.95,871.0,874.8,1216000,0.4179421926866681
6,25-NOV-2020,FUTSTK,AMBUJACEM,255.85,259.2,255.2,256.1,15777000,0.6916727452681307
7,25-NOV-2020,FUTSTK,APOLLOHOSP,2325.65,2346.85,2241.45,2245.9,1646500,0.4929240632791856
8,25-NOV-2020,FUTSTK,APOLLOTYRE,177.9,178.85,172.55,173.85,8790000,1.122221995510708
9,25-NOV-2020,FUTSTK,ASHOKLEY,91.2,92.2,88.1,89.6,34758000,0.7384782977766173
10,25-NOV-2020,FUTSTK,ASIANPAINT,2200.05,2207.15,2138.4,2153.25,3711600,0.5565877924295677
11,25-NOV-2020,FUTSTK,AUROPHARMA,885.95,889.8,849.9,852.8,12358450,0.8349460411895446
12,25-NOV-2020,FUTSTK,AXISBANK,624.9,630.95,596.4,600.35,57220800,0.7961357506999714
13,25-NOV-2020,FUTSTK,BAJAJ-AUTO,3102.65,3163.65,3042.5,3053.85,2154500,0.4669729299069536
14,25-NOV-2020,FUTSTK,BAJAJFINSV,8927.9,8957.85,8615.15,8675.2,1032250,1.2187311028211023
15,25-NOV-2020,FUTSTK,BAJFINANCE,4790.05,4794.85,4676.1,4686.75,6251750,1.2381545185513294
16,25-NOV-2020,FUTSTK,BALKRISIND,1657.9,1664.35,1591.45,1604.15,1476800,0.8472885534764693
17,25-NOV-2020,FUTSTK,BANDHANBNK,362.0,375.75,362.0,367.25,13694400,0.6715866011366337
18,25-NOV-2020,FUTSTK,BANKBARODA,47.7,50.75,47.55,49.05,58663000,0.5426423511332292
19,25-NOV-2020,FUTSTK,BATAINDIA,1506.45,1511.0,1471.2,1486.9,920700,0.6700465055670225
20,25-NOV-2020,FUTSTK,BEL,107.9,110.7,105.85,107.1,31593200,0.6118859426856833
21,25-NOV-2020,FUTSTK,BERGEPAINT,640.85,643.2,632.0,636.05,3064600,0.6229194708125175
22,25-NOV-2020,FUTSTK,BHARATFORG,499.75,509.5,494.1,497.25,5701500,0.47474718411558975
23,25-NOV-2020,FUTSTK,BHARTIARTL,477.35,478.8,458.6,463.55,98325120,0.6181270903390567
24,25-NOV-2020,FUTSTK,BHEL,31.4,31.95,30.3,30.7,70980000,0.5117909341166368
25,25-NOV-2020,FUTSTK,BIOCON,437.05,443.65,418.4,419.95,10869800,0.4853534287761465
26,25-NOV-2020,FUTSTK,BOSCHLTD,13059.75,13566.8,12550.0,12740.35,273000,0.5463901119304015
27,25-NOV-2020,FUTSTK,BPCL,391.35,393.0,381.75,383.0,22456800,0.5894616720395872
28,25-NOV-2020,FUTSTK,BRITANNIA,3572.55,3583.35,3532.25,3550.05,1415000,0.5775595669278856
29,25-NOV-2020,FUTSTK,CADILAHC,430.15,432.5,419.8,421.25,5882800,0.43115930194353813
30,25-NOV-2020,FUTSTK,CANBK,94.1,100.95,94.1,96.55,20157200,0.5601527028032539
31,25-NOV-2020,FUTSTK,CHOLAFIN,361.65,364.3,351.3,353.2,5732500,1.1629909250274497
32,25-NOV-2020,FUTSTK,CIPLA,750.3,754.75,729.0,732.55,18418400,0.41212202359184213
33,25-NOV-2020,FUTSTK,COALINDIA,123.95,127.1,123.35,124.25,34121200,0.6688378426584582
34,25-NOV-2020,FUTSTK,COFORGE,2448.75,2477.75,2413.5,2426.5,590625,0.38364619016272467
35,25-NOV-2020,FUTSTK,COLPAL,1550.05,1555.45,1499.45,1502.8,2119600,0.7489154331619259
36,25-NOV-2020,FUTSTK,CONCOR,412.1,414.0,399.35,400.5,5884695,0.8189650153544641
37,25-NOV-2020,FUTSTK,CUMMINSIND,525.35,530.25,521.2,525.2,1434000,0.817018379367449
38,25-NOV-2020,FUTSTK,DABUR,509.0,510.75,500.8,501.75,15660000,0.48261091864934863
39,25-NOV-2020,FUTSTK,DIVISLAB,3559.6,3563.9,3451.65,3475.2,2447000,0.6667917611983298
40,25-NOV-2020,FUTSTK,DLF,190.95,191.15,181.8,182.9,28733100,0.6247847993893496
41,25-NOV-2020,FUTSTK,DRREDDY,4981.55,5012.95,4794.45,4812.2,3693250,0.48428341617002874
42,25-NOV-2020,FUTSTK,EICHERMOT,2699.15,2723.0,2584.8,2593.1,2221100,1.1152722447203998
43,25-NOV-2020,FUTSTK,ESCORTS,1414.45,1419.4,1380.4,1392.65,2781350,0.990262428134512
44,25-NOV-2020,FUTSTK,EXIDEIND,175.8,176.2,170.8,171.45,12960000,0.608465429610397
45,25-NOV-2020,FUTSTK,FEDERALBNK,59.8,60.85,56.45,59.15,106082000,0.6077737650079756
46,25-NOV-2020,FUTSTK,GAIL,101.75,103.95,100.65,102.2,25674900,0.6151723674262395
47,25-NOV-2020,FUTSTK,GLENMARK,482.2,485.35,464.0,466.0,5706300,0.5110715480912127
48,25-NOV-2020,FUTSTK,GMRINFRA,25.7,26.25,25.35,25.55,74520000,0.4414587206523432
